player,year,round,elo,elo_new
h smith,1934,r1,1500,1534.8535364974912
c wood,1934,r1,1500,1529.3920845967402
b burke,1934,r1,1500,1523.9306326959893
p runyan,1934,r1,1500,1513.0077288944874
e dundley,1934,r1,1500,1513.0077288944874
w macfarlane,1934,r1,1500,1513.0077288944874
al espinosa,1934,r1,1500,1507.5462769937365
j hines,1934,r1,1500,1534.8535364974912
h mcspaden,1934,r1,1500,1496.6233731922346
msmith,1934,r1,1500,1513.0077288944874
m dutra,1934,r1,1500,1513.0077288944874
a watrous,1934,r1,1500,1513.0077288944874
whagen,1934,r1,1500,1529.3920845967402
r t jones jr,1934,r1,1500,1502.0848250929855
d shute,1934,r1,1500,1518.4691807952383
l diegel,1934,r1,1500,1518.4691807952383
r s stonehouse,1934,r1,1500,1513.0077288944874
k laffoon,1934,r1,1500,1523.9306326959893
j revolta,1934,r1,1500,1507.5462769937365
w j schwartz,1934,r1,1500,1507.5462769937365
j golden,1934,r1,1500,1529.3920845967402
c yates,1934,r1,1500,1502.0848250929855
j w dawson,1934,r1,1500,1513.0077288944874
h picard,1934,r1,1500,1529.3920845967402
h ciuci,1934,r1,1500,1513.0077288944874
t creavy,1934,r1,1500,1513.0077288944874
v ghezzi,1934,r1,1500,1496.6233731922346
b cruickshank,1934,r1,1500,1513.0077288944874
j foulis,1934,r1,1500,1491.1619212914836
m turnesa,1934,r1,1500,1507.5462769937365
c lacey,1934,r1,1500,1513.0077288944874
j kinder,1934,r1,1500,1496.6233731922346
p perkins,1934,r1,1500,1513.0077288944874
g t dunlap jr,1934,r1,1500,1502.0848250929855
j turnesa,1934,r1,1500,1507.5462769937365
j j farrell,1934,r1,1500,1496.6233731922346
j paletti,1934,r1,1500,1518.4691807952383
e ball,1934,r1,1500,1513.0077288944874
abe espinosa,1934,r1,1500,1502.0848250929855
g kunes,1934,r1,1500,1480.2390174899817
d ogilvie jr,1934,r1,1500,1485.7004693907327
t kerrigan,1934,r1,1500,1502.0848250929855
g kerrigan,1934,r1,1500,1458.393209886978
c r somerville,1934,r1,1500,1469.3161136884798
w p turnesa,1934,r1,1500,1507.5462769937365
s parks jr,1934,r1,1500,1485.7004693907327
j perelli,1934,r1,1500,1485.7004693907327
w d fondren,1934,r1,1500,1485.7004693907327
b howell,1934,r1,1500,1502.0848250929855
f mcleod,1934,r1,1500,1480.2390174899817
g sargent,1934,r1,1500,1480.2390174899817
cw hall,1934,r1,1500,1485.7004693907327
g jacobus,1934,r1,1500,1485.7004693907327
w emery,1934,r1,1500,1496.6233731922346
s perry,1934,r1,1500,1496.6233731922346
j vincent,1934,r1,1500,1480.2390174899817
w dow,1934,r1,1500,1474.7775655892308
j sweetser,1934,r1,1500,1480.2390174899817
ct wilson,1934,r1,1500,1480.2390174899817
b mitchell,1934,r1,1500,1458.393209886978
c walker,1934,r1,1500,1436.5474022839742
b mehlhorn,1934,r1,1500,1491.1619212914836
w cox,1934,r1,1500,1491.1619212914836
h cooper,1934,r1,1500,1491.1619212914836
f clark,1934,r1,1500,1469.3161136884798
t manero,1934,r1,1500,1474.7775655892308
e french,1934,r1,1500,1534.8535364974912
d metz,1934,r1,1500,1507.5462769937365
h barron,1934,r1,1500,1480.2390174899817
cg stevens,1934,r1,1500,1469.3161136884798
a houghton,1934,r1,1500,1496.6233731922346
h smith,1934,r1r2,1534.8535364974912,1567.8602871635505
c wood,1934,r1r2,1529.3920845967402,1552.8960531911944
b burke,1934,r1r2,1523.9306326959893,1553.7696261973686
p runyan,1934,r1r2,1513.0077288944874,1536.5114050880409
e dundley,1934,r1r2,1513.0077288944874,1542.8465277596404
w macfarlane,1934,r1r2,1513.0077288944874,1530.1762824164414
al espinosa,1934,r1r2,1507.5462769937365,1531.0498563130222
j hines,1934,r1r2,1534.8535364974912,1561.525164491951
h mcspaden,1934,r1r2,1496.6233731922346,1501.1213916291504
msmith,1934,r1r2,1513.0077288944874,1539.6789664238406
m dutra,1934,r1r2,1513.0077288944874,1523.8411597448417
a watrous,1934,r1r2,1513.0077288944874,1527.0087210806414
whagen,1934,r1r2,1529.3920845967402,1546.5609305195949
r t jones jr,1934,r1r2,1502.0848250929855,1509.7505011531052
d shute,1934,r1r2,1518.4691807952383,1538.8053928227055
l diegel,1934,r1r2,1518.4691807952383,1541.9729541585052
r s stonehouse,1934,r1r2,1513.0077288944874,1539.6789664238406
k laffoon,1934,r1r2,1523.9306326959893,1528.4291355109706
j revolta,1934,r1r2,1507.5462769937365,1524.7147336414228
w j schwartz,1934,r1r2,1507.5462769937365,1524.7147336414228
j golden,1934,r1r2,1529.3920845967402,1549.7284918553946
c yates,1934,r1r2,1502.0848250929855,1516.0856238247047
j w dawson,1934,r1r2,1513.0077288944874,1530.1762824164414
h picard,1934,r1r2,1529.3920845967402,1546.5609305195949
h ciuci,1934,r1r2,1513.0077288944874,1530.1762824164414
t creavy,1934,r1r2,1513.0077288944874,1530.1762824164414
v ghezzi,1934,r1r2,1496.6233731922346,1501.1213916291504
b cruickshank,1934,r1r2,1513.0077288944874,1527.0087210806414
j foulis,1934,r1r2,1491.1619212914836,1492.4922823966294
m turnesa,1934,r1r2,1507.5462769937365,1518.379610969823
c lacey,1934,r1r2,1513.0077288944874,1530.1762824164414
j kinder,1934,r1r2,1496.6233731922346,1494.7862689575509
p perkins,1934,r1r2,1513.0077288944874,1520.673598409042
g t dunlap jr,1934,r1r2,1502.0848250929855,1506.5829398173055
j turnesa,1934,r1r2,1507.5462769937365,1515.2120496340233
j j farrell,1934,r1r2,1496.6233731922346,1482.116023614352
j paletti,1934,r1r2,1518.4691807952383,1519.800024807907
e ball,1934,r1r2,1513.0077288944874,1523.8411597448417
abe espinosa,1934,r1r2,1502.0848250929855,1500.247817145706
g kunes,1934,r1r2,1480.2390174899817,1468.8989421290137
