player,position,r1,r2,r3,r4,strokes,earnings,fedex_cup_points,year
Sergio Garcia,1,71,69,70,69,279,"$1,980,000.00",600,2017
Justin Rose,2,71,72,67,69,279,"$1,188,000.00",330,2017
Charl Schwartzel,3,74,72,68,68,282,"$748,000.00",210,2017
Matt Kuchar,T4,72,73,71,67,283,"$484,000.00",135,2017
Thomas Pieters,T4,72,68,75,68,283,"$484,000.00",,2017
Paul Casey,6,72,75,69,68,284,"$396,000.00",110,2017
Kevin Chappell,T7,71,76,70,68,285,"$354,750.00",97,2017
Rory McIlroy,T7,72,73,71,69,285,"$354,750.00",97,2017
Ryan Moore,T9,74,69,69,74,286,"$308,000.00",85,2017
Adam Scott,T9,75,69,69,73,286,"$308,000.00",85,2017
Rickie Fowler,T11,73,67,71,76,287,"$233,200.00",68.4,2017
Russell Henley,T11,71,76,71,69,287,"$233,200.00",68.4,2017
Brooks Koepka,T11,74,73,71,69,287,"$233,200.00",68.4,2017
Hideki Matsuyama,T11,76,70,74,67,287,"$233,200.00",68.4,2017
Jordan Spieth,T11,75,69,68,75,287,"$233,200.00",68.4,2017
Martin Kaymer,T16,78,68,74,68,288,"$181,500.00",,2017
Steve Stricker,T16,75,73,72,68,288,"$181,500.00",58,2017
Fred Couples,T18,73,70,74,72,289,"$148,500.00",51.93,2017
Pat Perez,T18,74,74,70,71,289,"$148,500.00",51.93,2017
Jimmy Walker,T18,76,71,70,72,289,"$148,500.00",51.93,2017
Lee Westwood,T18,70,77,68,74,289,"$148,500.00",,2017
Jason Day,T22,74,76,69,71,290,"$105,600.00",42.27,2017
Charley Hoffman,T22,65,75,72,78,290,"$105,600.00",42.27,2017
William McGirt,T22,69,73,74,74,290,"$105,600.00",42.27,2017
Phil Mickelson,T22,71,73,74,72,290,"$105,600.00",42.27,2017
Justin Thomas,T22,73,76,71,70,290,"$105,600.00",42.27,2017
Daniel Berger,T27,77,73,72,69,291,"$78,100.00",33.43,2017
Branden Grace,T27,76,74,71,70,291,"$78,100.00",33.43,2017
Jon Rahm,T27,73,70,73,75,291,"$78,100.00",33.43,2017
Brandt Snedeker,T27,75,74,69,73,291,"$78,100.00",33.43,2017
Brendan Steele,T27,74,73,75,69,291,"$78,100.00",33.43,2017
Matthew Fitzpatrick,32,71,78,73,70,292,"$68,200.00",,2017
Byeong Hun An,T33,76,73,74,70,293,"$62,150.00",25.12,2017
Jason Dufner,T33,71,76,70,76,293,"$62,150.00",25.12,2017
Francesco Molinari,T33,78,72,71,72,293,"$62,150.00",25.12,2017
Bill Haas,T36,75,72,71,76,294,"$52,938.00",20.4,2017
Adam Hadwin,T36,75,74,75,70,294,"$52,938.00",20.4,2017
Soren Kjeldsen,T36,72,73,71,78,294,"$52,938.00",20.4,2017
Brian Stuard,T36,77,70,74,73,294,"$52,938.00",20.4,2017
Stewart Hagestad,T36,74,73,74,73,294,,,2017
Ross Fisher,T41,76,74,74,71,295,"$46,200.00",,2017
Louis Oosthuizen,T41,77,71,76,71,295,"$46,200.00",16.43,2017
Kevin Kisner,T43,74,75,74,73,296,"$40,700.00",13.6,2017
Marc Leishman,T43,73,74,78,71,296,"$40,700.00",13.6,2017
Bernd Wiesberger,T43,77,72,76,71,296,"$40,700.00",,2017
Daniel Summerhays,T46,74,75,75,73,297,"$36,300.00",11.61,2017
Curtis Luck,T46,78,72,75,72,297,,,2017
James Hahn,T48,75,75,75,73,298,"$33,000.00",10.48,2017
Andy Sullivan,T48,71,78,76,73,298,"$33,000.00",,2017
J.B. Holmes,50,78,72,73,76,299,"$30,140.00",9.63,2017
Emiliano Grillo,51,79,70,73,78,300,"$28,600.00",9.06,2017
Larry Mize,52,74,76,79,76,305,"$27,720.00",8.5,2017
Ernie Els,53,72,75,83,78,308,"$27,060.00",7.93,2017
Jim Furyk,CUT,78,73,,,151,,,2017
Billy Hurley III,CUT,75,76,,,151,,,2017
Yuta Ikeda,CUT,74,77,,,151,,,2017
Zach Johnson,CUT,77,74,,,151,,,2017
Shane Lowry,CUT,72,79,,,151,,,2017
Kevin Na,CUT,76,75,,,151,,,2017
Danny Willett,CUT,73,78,,,151,,,2017
Chris Wood,CUT,74,77,,,151,,,2017
Rafa Cabrera Bello,CUT,75,77,,,152,,,2017
Tommy Fleetwood,CUT,78,74,,,152,,,2017
Russell Knox,CUT,76,76,,,152,,,2017
Alex Noren,CUT,74,78,,,152,,,2017
Rod Pampling,CUT,74,78,,,152,,,2017
Scott Piercy,CUT,73,79,,,152,,,2017
Webb Simpson,CUT,75,77,,,152,,,2017
Henrik Stenson,CUT,77,75,,,152,,,2017
Bubba Watson,CUT,74,78,,,152,,,2017
Brad Dalke,CUT,78,75,,,153,,,2017
Bernhard Langer,CUT,75,78,,,153,,,2017
Sean O'Hair,CUT,76,77,,,153,,,2017
Jose Maria Olazabal,CUT,77,76,,,153,,,2017
Patrick Reed,CUT,76,77,,,153,,,2017
Vijay Singh,CUT,78,75,,,153,,,2017
Hudson Swafford,CUT,77,76,,,153,,,2017
